distribution,MC,B,n,z,x_F,mu,gamma,frac_theta,frac_gamma,theta_hat,gamma_hat,s_hat,mean_rt,coverage_theta_t,mean_cl_theta_t,mean_cu_theta_t,coverage_gamma_t,mean_cl_gamma_t,mean_cu_gamma_t,coverage_s_t,mean_cl_s_t,mean_cu_s_t,mean_dL,coverage_theta_d,mean_cl_theta_d,mean_cu_theta_d,coverage_gamma_d,mean_cl_gamma_d,mean_cu_gamma_d,coverage_s_d,mean_cl_s_d,mean_cu_s_d
ARC,1000,199,5000,0.2,45,20,-0.3,0.03199999999999998,0.05,0.7663018867924529,-0.32420548845121044,0.003391670570207884,1.0,0.717,0.6991572327044026,0.8318748427672956,0.929,-0.4192569900681548,-0.20847036614019124,0.815,0.0021091599468767972,0.004626455718969675,2.0,0.834,0.7047767295597485,0.8430349056603775,0.917,-0.4121069594050543,-0.20265398855725283,0.933,0.0013597409599506428,0.00474946582063339
ARC,1000,199,5000,0.2,45,20,-0.3,0.03299999999999998,0.05,0.7630914634146342,-0.3263748802732057,0.0034990287278948225,1.0,0.697,0.6964527439024392,0.8343804878048781,0.925,-0.4224597784954226,-0.21052943205596023,0.805,0.0021092384242032843,0.004755305359462754,2.0,0.794,0.7024878048780487,0.8455588414634148,0.926,-0.4150772580263659,-0.20454575361958705,0.943,0.0013990814276875266,0.004878431056230241
ARC,1000,199,5000,0.2,45,20,-0.3,0.03399999999999998,0.05,0.763094674556213,-0.3238320818157766,0.0034693168541103108,1.0,0.682,0.6974928994082841,0.8315002958579882,0.934,-0.41912337183355375,-0.2073127639021636,0.81,0.002132127577820452,0.004700358756385127,2.0,0.796,0.7034076923076923,0.8408325443786983,0.919,-0.4121409267145336,-0.19995844632738902,0.935,0.0014137269601472487,0.0048369086808786824
ARC,1000,199,5000,0.2,45,20,-0.3,0.03499999999999998,0.05,0.7623275862068967,-0.3236432162976713,0.003463764893907235,1.0,0.667,0.6975433908045977,0.8274270114942528,0.922,-0.418796053263125,-0.2079548509298213,0.819,0.0021723546094780904,0.004680490205267807,2.0,0.781,0.7028991379310346,0.8374474137931035,0.922,-0.4121807652408747,-0.20149657411258778,0.949,0.0014530177189046917,0.004828497558982658
ARC,1000,199,5000,0.2,45,20,-0.3,0.035999999999999976,0.05,0.7628715083798882,-0.32519239990889637,0.0034770505409901374,1.0,0.669,0.6992201117318436,0.8326094972067039,0.936,-0.4210008297545952,-0.20925300428511803,0.806,0.002129000255126459,0.004690475912106086,2.006,0.775,0.7044418994413407,0.8421553072625698,0.932,-0.4130070077294928,-0.20190614503486057,0.936,0.0014177217066977273,0.004832682934477207
ARC,1000,199,5000,0.2,45,20,-0.3,0.03699999999999998,0.05,0.7624347826086957,-0.3266763439385207,0.003469045290569053,1.0,0.709,0.7001228260869566,0.8407116847826087,0.918,-0.42219255583200643,-0.2108589122799093,0.825,0.002020663780986464,0.004652437123661797,2.0,0.806,0.7058364130434784,0.8468059782608696,0.906,-0.4151166844914045,-0.20391902446414958,0.939,0.001388262095034032,0.004800224200407003
ARC,1000,199,5000,0.2,45,20,-0.3,0.03799999999999998,0.05,0.7586190476190477,-0.32854669368484,0.003569309790030726,1.0,0.709,0.6970002645502645,0.8458087301587301,0.923,-0.4248540890217072,-0.21417980851772642,0.827,0.0019820205664828347,0.004773833421898651,2.001,0.794,0.7025042328042328,0.8512248677248676,0.908,-0.4179749785700912,-0.2087756870748243,0.944,0.001364495530514561,0.0049238747305002245
ARC,1000,199,5000,0.2,45,20,-0.3,0.03899999999999998,0.05,0.7584072164948454,-0.3251871576541159,0.0035274197784922507,1.0,0.728,0.6978899484536082,0.854465206185567,0.916,-0.42210601274843823,-0.21022809312306492,0.837,0.0018570884147013915,0.004705300977877698,2.0,0.792,0.7027291237113402,0.8596188144329897,0.901,-0.4136228653595145,-0.20407697577696832,0.95,0.001290099209298259,0.004868730464614292
ARC,1000,199,5000,0.2,45,20,-0.3,0.03999999999999997,0.05,0.7566180904522614,-0.32691581526178276,0.0035826127114859034,1.0,0.657,0.6960344221105528,0.8362236180904522,0.927,-0.42385068221374117,-0.21219121617140085,0.809,0.002105000055390783,0.004770315518868557,2.001,0.733,0.7007032663316584,0.8401407035175879,0.918,-0.4165257002964884,-0.20742825887181215,0.951,0.001474631128918006,0.004949272261764487
ARC,1000,199,5000,0.2,45,20,-0.3,0.040999999999999974,0.05,0.7576568627450979,-0.32276688813632554,0.003518306870800208,1.0,0.67,0.6982460784313725,0.8463754901960784,0.933,-0.41911840504187264,-0.207940362175237,0.842,0.001941267444829882,0.004675330372180405,2.005,0.766,0.7031022058823531,0.8510811274509804,0.916,-0.4112881170730889,-0.20254684733578218,0.961,0.001349219811474383,0.004852018113174237
ARC,1000,199,5000,0.2,45,20,-0.3,0.041999999999999975,0.05,0.7571387559808613,-0.32605620134307517,0.003554364550131669,1.0,0.732,0.6987739234449761,0.8571282296650717,0.918,-0.4219873918488794,-0.21167182126083953,0.823,0.001818369472618802,0.004707659113913436,2.002,0.791,0.703626076555024,0.8623643540669856,0.906,-0.4144904094306896,-0.2057873690799924,0.95,0.0012941610415925053,0.004883443027801126
ARC,1000,199,5000,0.2,45,20,-0.3,0.042999999999999976,0.05,0.7544719626168225,-0.32594409287531795,0.003585135052041452,1.0,0.724,0.6963890186915888,0.8639509345794393,0.919,-0.42289538037076957,-0.21169005584586842,0.831,0.0017360083934770622,0.004733665394379789,2.006,0.798,0.7013913551401869,0.8678997663551402,0.909,-0.4145983897521853,-0.20604170089693982,0.946,0.0012221230590643765,0.0049157441835777135
ARC,1000,199,5000,0.2,45,20,-0.3,0.04399999999999998,0.05,0.7531506849315068,-0.325526998903611,0.00362480997947,1.0,0.769,0.6962655251141553,0.8785808219178082,0.918,-0.4213718355484866,-0.21080153327504145,0.868,0.0015656555528443833,0.004765084506568408,2.006,0.823,0.700944292237443,0.8825728310502282,0.918,-0.41292734518648977,-0.2038200156089869,0.96,0.0011007110725534445,0.0049518111586378845
ARC,1000,199,5000,0.2,45,20,-0.3,0.04499999999999997,0.05,0.7525267857142858,-0.3286252814632051,0.0036448405632432167,1.0,0.801,0.6965589285714286,0.8969138392857142,0.911,-0.4246180537411038,-0.21390060451887216,0.843,0.0013351714875595281,0.004775606914435808,2.006,0.835,0.7015401785714286,0.8940968749999999,0.905,-0.41594806591049904,-0.20968682128043742,0.949,0.0010249537345875612,0.004961622199882725
ARC,1000,199,5000,0.2,45,20,-0.3,0.04599999999999997,0.05,0.7503013100436682,-0.3246561583684278,0.003663633854781372,1.0,0.712,0.6941652838427947,0.8661613537117904,0.929,-0.42180258734565307,-0.21030040059509486,0.841,0.0017089391833408206,0.0048015086758115486,2.003,0.748,0.6992065502183407,0.864874672489083,0.911,-0.4126534584734485,-0.2044499556101042,0.961,0.0012939507257582925,0.004996915776681558
ARC,1000,199,5000,0.2,45,20,-0.3,0.04699999999999997,0.05,0.7498290598290598,-0.32716819732395186,0.0036915729644191302,1.0,0.746,0.6945613247863248,0.8731290598290599,0.922,-0.42482396121309735,-0.21237460165876187,0.84,0.0016476967890911539,0.0048258433467655605,2.009,0.786,0.698897435897436,0.8755698717948718,0.91,-0.4157986800383203,-0.20824211102772158,0.954,0.0012234210778767182,0.0050314513934981734
ARC,1000,199,5000,0.2,45,20,-0.3,0.047999999999999966,0.05,0.7500669456066945,-0.3267353706676004,0.0036353765760285843,1.0,0.815,0.695428870292887,0.8954573221757323,0.925,-0.42354837597087724,-0.21156660862447194,0.867,0.0013314963314614578,0.0047437977406658725,2.012,0.834,0.7004146443514644,0.8947901673640167,0.901,-0.41360851178057323,-0.20842745663974005,0.953,0.0010211113551718207,0.004935273038260421
ARC,1000,199,5000,0.2,45,20,-0.3,0.04899999999999997,0.05,0.7495286885245902,-0.3234137325212215,0.003670509486178317,1.001,0.84,0.6954358606557378,0.9094022540983606,0.931,-0.41921605641021104,-0.2075809528072362,0.876,0.001142866613734392,0.004774491722306852,2.024,0.861,0.7005922131147541,0.9059877049180328,0.909,-0.4099508430826345,-0.20094112974041425,0.96,0.0009159693311969597,0.004970414649768118
ARC,1000,199,5000,0.2,45,20,-0.3,0.04999999999999997,0.05,0.7473453815261044,-0.32680629591116167,0.0036993378567188252,1.0,0.88,0.6945030120481928,0.9258275100401606,0.917,-0.42382365371243713,-0.21244118078651109,0.902,0.0009192230198846863,0.004795597520237746,2.026,0.883,0.6994301204819278,0.9242138554216868,0.904,-0.41364295842803506,-0.20913055497606178,0.96,0.00072940796978367,0.004984592274655175
ARC,1000,199,5000,0.2,45,20,-0.3,0.05099999999999997,0.05,0.746244094488189,-0.32229980147004667,0.003695750463575624,1.0,0.919,0.6949224409448819,0.9383448818897637,0.932,-0.4182607870504864,-0.20735664952543242,0.916,0.0007601787178089985,0.004759884933141677,2.018,0.915,0.6991125984251969,0.9367053149606299,0.909,-0.40892972208739453,-0.2036523613701934,0.973,0.000608536051890836,0.004970357928354603
ARC,1000,199,5000,0.2,45,20,-0.3,0.05199999999999997,0.05,0.7457606177606179,-0.3253567484371864,0.0037315727688933737,1.0,0.822,0.6940324324324324,0.9025915057915058,0.929,-0.4215081673828712,-0.21084391133785926,0.868,0.0012093758218225488,0.0048147130799685535,2.025,0.843,0.6984830115830116,0.9035110038610039,0.915,-0.4113172428161286,-0.20741301716406227,0.952,0.0009630539600236358,0.005021811466338457
ARC,1000,199,5000,0.2,45,20,-0.3,0.052999999999999964,0.05,0.744689393939394,-0.32412163775154373,0.0037124340421671896,1.0,0.879,0.6937013257575758,0.9227151515151516,0.927,-0.4197547291060825,-0.20905315956678566,0.905,0.0009551933872168959,0.004776308604883694,2.022,0.891,0.6983388257575758,0.9213070075757576,0.904,-0.41014775214037197,-0.20570024363206144,0.972,0.0007444132504219429,0.004987724574895664
ARC,1000,199,5000,0.2,45,20,-0.3,0.053999999999999965,0.05,0.7424832713754647,-0.32663872077273487,0.0037560192419941085,1.001,0.895,0.6909446096654275,0.9362449814126393,0.92,-0.42304630110710034,-0.2117884285937389,0.903,0.0007723742013153758,0.004835276004694045,2.078,0.893,0.6952994423791822,0.9360769516728625,0.897,-0.41315901134110244,-0.20762411932956604,0.956,0.0006386211690408074,0.005039589778804872
ARC,1000,199,5000,0.2,45,20,-0.3,0.054999999999999966,0.05,0.7435109489051095,-0.3208957985643106,0.003721650811658546,1.0,0.924,0.6939228102189782,0.956775,0.926,-0.4172239296141274,-0.2048032025807064,0.929,0.0004649384904052588,0.004762586334942281,2.053,0.93,0.6982169708029198,0.9534625912408758,0.905,-0.4070867098189243,-0.20112305182186743,0.97,0.00041622374486733547,0.004971096217328593
ARC,1000,199,5000,0.2,45,20,-0.3,0.05599999999999996,0.05,0.7392401433691758,-0.32505662552037007,0.0037839459484897025,1.0,0.934,0.6888732974910394,0.9645383512544803,0.924,-0.4206621851735138,-0.21005089960240322,0.913,0.0003052304184730632,0.004838639314724501,2.109,0.934,0.693426164874552,0.9597612903225806,0.905,-0.4104663936887247,-0.2082715281192666,0.954,0.00029930598100064897,0.005032074536339879
ARC,1000,199,5000,0.2,45,20,-0.3,0.05699999999999996,0.05,0.7367957746478874,-0.3263610582331126,0.0038524008560652046,1.002,0.951,0.6876350352112677,0.9726890845070423,0.927,-0.42284535869382806,-0.2111750639137917,0.935,0.00023327302225626664,0.004904839991013013,2.1,0.956,0.6916029929577464,0.9702829225352113,0.916,-0.4118454585322329,-0.20736357171016992,0.961,0.00019356720067634442,0.005110347514269339
ARC,1000,199,5000,0.2,45,20,-0.3,0.05799999999999996,0.05,0.7334948096885813,-0.3253841791042004,0.0038863900579496195,1.002,0.954,0.6836366782006922,0.9756529411764707,0.928,-0.42118895319318594,-0.21039313961806724,0.94,0.00016297166409765735,0.0049420634936427656,2.152,0.953,0.6874332179930797,0.9710254325259516,0.913,-0.41149200779590533,-0.20707286044952372,0.961,0.00016884754235847626,0.005151898812504314
ARC,1000,199,5000,0.2,45,20,-0.3,0.05899999999999996,0.05,0.7365,-0.3216613381036481,0.0038331201967363544,1.0,0.944,0.6882889455782313,0.9565348639455782,0.939,-0.4175063678352611,-0.20573784950489762,0.925,0.0004417672003168976,0.004866557239228207,2.087,0.945,0.6923039115646259,0.9550231292517007,0.92,-0.40753634552980417,-0.20277610091166917,0.962,0.00038301168553721363,0.005075706134361752
ARC,1000,199,5000,0.2,45,20,-0.3,0.05999999999999996,0.05,0.7346454849498327,-0.3247820837092979,0.0038735917764136703,1.001,0.955,0.6868010033444815,0.9699093645484949,0.93,-0.4208599418058177,-0.2104691466809698,0.926,0.0002408971062028493,0.004905261111092726,2.1,0.953,0.6909254180602006,0.9678511705685618,0.9,-0.4104615768220623,-0.2059894651474962,0.959,0.0002391828948464638,0.005122079023257799
ARC,1000,199,5000,0.2,45,20,-0.3,0.06099999999999996,0.05,0.7314638157894736,-0.3266499954540173,0.0039166670305299306,1.001,0.957,0.6826934210526316,0.9804126644736841,0.925,-0.42263679821046424,-0.21100598182433272,0.94,6.958694278733988e-05,0.004965434518213515,2.168,0.959,0.6865434210526317,0.981096875,0.894,-0.4123831762787959,-0.2076678887104724,0.958,3.707596348787109e-05,0.005159420213769238
ARC,1000,199,5000,0.2,45,20,-0.3,0.06199999999999996,0.05,0.7273398058252428,-0.32649065867426946,0.003972141428491741,1.002,0.956,0.6780349514563108,0.9858019417475729,0.926,-0.4218481786936508,-0.21152687126372496,0.955,-5.355686171381761e-05,0.005013099424690399,2.211,0.951,0.6823851132686085,0.9795501618122978,0.901,-0.41270364021177475,-0.20900829049244937,0.966,8.937508259402435e-06,0.005212875218588834
ARC,1000,199,5000,0.2,45,20,-0.3,0.06299999999999996,0.05,0.7232866242038217,-0.3286154630095497,0.004054607796843213,1.003,0.938,0.6737875796178343,0.9890823248407643,0.92,-0.4239551581534344,-0.21357505112854644,0.932,-0.00011400138368562615,0.005114297176999742,2.264,0.948,0.6774046178343948,0.9864444267515924,0.892,-0.41434933501748356,-0.21104607760058303,0.953,-9.453955307309109e-05,0.005307421788569082
ARC,1000,199,5000,0.2,45,20,-0.3,0.06399999999999995,0.05,0.7179717868338559,-0.3233748679637813,0.004109045439452487,1.011,0.932,0.6652534482758621,0.9900272727272728,0.92,-0.41944902593197797,-0.2090606819268503,0.924,-0.0001661739735675473,0.005206363221116946,2.398,0.936,0.6688346394984326,0.9881559561128527,0.898,-0.4093592264766693,-0.2051770549699947,0.939,-0.0001250516265601224,0.005387439307255654
ARC,1000,199,5000,0.2,45,20,-0.3,0.06499999999999995,0.05,0.7126327160493827,-0.3253464601395469,0.004199081050777453,1.006,0.918,0.6577484567901235,0.979817438271605,0.931,-0.4204674358829484,-0.2091050833359271,0.928,-1.914399138476314e-05,0.0053327763741600745,2.462,0.918,0.6611753086419754,0.9781950617283951,0.911,-0.4106133490447766,-0.20483108056938767,0.939,7.231416839414202e-06,0.005505889435723674
ARC,1000,199,5000,0.2,45,20,-0.3,0.06599999999999995,0.05,0.7207294832826748,-0.32381960060306453,0.004040372063368863,1.003,0.944,0.6712674772036474,0.9872843465045594,0.914,-0.4200556278852783,-0.21030223086613717,0.942,-0.00010757820676182189,0.0050908857981287955,2.297,0.948,0.6747048632218846,0.9848237082066869,0.89,-0.410229018361216,-0.20644710102372874,0.947,-9.811378980885566e-05,0.0052835144474753255
ARC,1000,199,5000,0.2,45,20,-0.3,0.06699999999999995,0.05,0.715631736526946,-0.322535578271413,0.00414802191523677,1.005,0.94,0.6652214071856288,0.9895751497005988,0.929,-0.4174658083924165,-0.20684637707175868,0.934,-0.0001602445594292123,0.005215151964478171,2.356,0.931,0.6687790419161677,0.988524251497006,0.911,-0.4079330495935541,-0.20338788999798862,0.95,-0.00014376067337563207,0.00539610970585981
ARC,1000,199,5000,0.2,45,20,-0.3,0.06799999999999995,0.05,0.7086607669616519,-0.3220231376381609,0.004230393370978636,1.008,0.929,0.6544064896755163,0.9870637168141593,0.911,-0.41719262316404826,-0.20659468107587475,0.922,-0.0001573507515053228,0.00533810427286354,2.508,0.931,0.6580079646017699,0.9854144542772861,0.895,-0.4082451377657274,-0.20186474024300755,0.937,-0.00011748065487098736,0.005509687300835601
ARC,1000,199,5000,0.2,45,20,-0.3,0.06899999999999995,0.05,0.7035755813953488,-0.3266059922074874,0.004326831888744132,1.008,0.925,0.6492052325581396,0.9885870639534884,0.923,-0.423091856467655,-0.21275924900518273,0.936,-0.00019046142689560264,0.005449333589701772,2.55,0.923,0.6521408430232559,0.9855440406976744,0.9,-0.41411011799154335,-0.21023202316309417,0.936,-0.00012653557004289455,0.005624354705286474
ARC,1000,199,5000,0.2,45,20,-0.3,0.06999999999999995,0.05,0.6963925501432665,-0.32412786559397627,0.004390676405764015,1.018,0.9,0.637539541547278,0.9843893982808023,0.922,-0.4202621692734888,-0.2093724351107673,0.907,-0.00015516682332399317,0.005554053487910938,2.744,0.904,0.6412176217765043,0.9841467048710602,0.906,-0.41044894700171336,-0.20679839874538178,0.915,-0.0001627331645079702,0.005692904987308188
ARC,1000,199,5000,0.2,45,20,-0.3,0.07099999999999995,0.05,0.6852796610169491,-0.32743650808811436,0.004583006006503755,1.028,0.874,0.6205295197740113,0.9727692090395481,0.923,-0.42284604989026153,-0.21228329619357264,0.881,-2.8751521117956465e-05,0.0058351198551880685,2.959,0.871,0.6230919491525424,0.9718296610169491,0.904,-0.4132434598674423,-0.209373211974205,0.893,-1.0753537401824001e-05,0.005978964219125328
